text,sentiment
i have responded if i were going,neutral
sooo sad i will miss you here in san diego,negative
my boss is bullying me,negative
what interview leave me alone,negative
sons of why could they put them on the releases we already bought,negative
some shameless plugging for the best rangers forum on earth,neutral
am feedings for the baby are fun when he is all smiles and coos,positive
soooo high,neutral
both of you,neutral
journey wow u just became cooler hehe is that possible,positive
as much as i love to be hopeful i reckon the chances are minimal p i never gon na get my cake and stuff,neutral
i really really like the song love story by taylor swift,positive
my sharpie is running dangerously low on ink,negative
i want to go to music tonight but i lost my voice,negative
test test from the lg,neutral
uh oh i am sunburned,negative
trying to plot alternatives as we speak sigh,negative
i been sick for the past few days and thus my hair looks wierd if i did nt have a hat on it would look,negative
is back home now gon na miss every one,negative
he s just not that into you,neutral
oh marly i so sorry i hope you find her soon,neutral
playing ghost online is really interesting the new updates are kirin pet and metamorph for third job ca wait to have a dragon pet,positive
is cleaning the house for her family who is comming later today,neutral
got ta restart my computer i thought was supposed to put an end to the constant rebootiness,neutral
see wat i mean bout friidays it called lose friday smh,neutral
the free fillin app on my ipod is fun i m addicted,positive
i sorry,negative
on the way to malaysia no internet access to twit,negative
juss came backk from berkeleyy omg its madd fun out there have nt been out there in a minute whassqoodd,positive
went to sleep and there is a power cut in noida power back up not working too,negative
i going home now have you seen my new twitter design quite heavenly isn,positive
i hope unni will make the audition fighting dahye unni,positive
if it is any consolation i got my bmi tested hahaha it says i am obesed well so much for being unhappy for about minutes,negative
that very funny cute kids,positive
ahhh i slept through the game i gon na try my best to watch tomorrow though i hope we play army,neutral
that s it its the end tears for fears vs eric prydz dj hero,neutral
born and raised in nyc and living in texas for the past years i still miss ny,negative
just in case you wonder we are really busy today and this coming with with adding tons of new blogs and updates stay tuned,neutral
i soooooo sleeeeepy the last day o school was today sniffle,negative
a little happy for the wine jeje ok my free time so who cares jaja i love this day,positive
car not happy big big dent in boot hoping they re not going to write it off crossing fingers and waiting,neutral
i m an avid fan of magazine and i love your magazines,positive
mayday,neutral
ratt rocked nashville tonite one thing sucked no encore like in the they still have a fun show pearcy has that hott bad boy look,neutral
i love to but i only available from pm and where dear would love to help convert her,positive
the girl in the hair salon asked me shall i trim your eyebrows how old do i feel,neutral
egh blah and boooooooooooo i dunno wanna go to work hangovers suckkkkkk i m a drunk mess,negative
visiting my friendster and facebook,neutral
i donbt like to peel prawns i also do nt like going shopping running out of money and crawling round the car looking for more,negative
which case i got a new one last week and i not thrilled at all with mine,negative
then you should check out and connect with other tweeple who hate twitter,neutral
also bored at school its my third freelesson freistunde,neutral
hm both of us i guess,neutral
it is u have dissappointed me that past few days,negative
romance zero is funny,positive
i rather do the early run but i am a morning runner,neutral
bah a coworker ran into work late and her bag smacked into my knee it really hurts now,negative
will be back later,neutral
aw torn ace of hearts hunchback,negative
what fun are you speaking of,neutral
i lost all my friends i alone and sleepy i wanna go home,negative
haha yes,neutral
i give in to easily,negative
what better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine our wine was a red,positive
mannnn got an iphone i m jealous,negative
is at a photoshoot,neutral
he awesome have you worked with him before he a good friend,positive
yay playing a show tonight boo it gon na soggy and i at work right before playing,neutral
chilliin,positive
if you know such agent do let me know,neutral
i still smell of smoke kitchenfire,neutral
a celtics lakers rematch sounds better do you think lol,positive
anyone have an extra keane ticket i promise to buy you a drink and take rad pics for your fb blog flickr etc,neutral
you can ride one you can catch one but its not summer til you pop open one,neutral
she is good so gor juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,neutral
ok i out of here for now just popped in to say hi and check on things i probably head to the guttah later on tonight,neutral
wow i am really missin the today baddd,negative
my sources say no,neutral
i am sooo tired,negative
hey you change your twitter account and you did even tell me,neutral
thank yyyyyyyyyoooooooooouuuuu,positive
lucky kid i so wanna see loserville pity i m in oz,positive
fell asleep waiting for my ride,neutral
sick with a flu like thing,negative
still no reply from about my simfinger problem so no irape parody video until i get a response sorry guys,negative
happy star wars day everyone and enjoy the holiday uk,positive
miles from you i in essex so give me plenty of warning so i can arrive in time to get at least one of those free beers,neutral
his snoring is so annoying n it keeps me from sleeping like right now lol but i honestly wud miss it if it eva left i love him,neutral
i miss you bby wish you were going tomorrow to make me do good,negative
well what i m working on is quite ready to post about publicly still beta testing but its a cool new script i coded,positive
sweeeeet san fran is awesome love it there,positive
mounce yes and it lasts way past my bedtime,neutral
hi how are you doing just joined twitter,neutral
waiting for sleeping pills to kick in gon na be so tired at work tomorrow,negative
eating ice cream and then getting ready for graduation,neutral
happy mothers day to all you mums out there,positive
casey gone but why so she piddled a little on the carpet she prolly freaked cause it new can we get her back,negative
